"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"TWTR220610C00037000","REGULAR","USD",2022-06-10,37,3.55,0.18000007,5.3412485,3.25,3.6,21,672,2022-06-03 15:37:54,0.64062859375,TRUE
"TWTR220610C00037500","REGULAR","USD",2022-06-10,37.5,3.27,0.47000003,16.785715,2.93,3.1,4,27,2022-06-03 10:32:43,0.6367223828125,TRUE
"TWTR220610C00038000","REGULAR","USD",2022-06-10,38,2.7,0.09000015,3.4482818,2.54,2.76,64,273,2022-06-03 15:42:15,0.647464462890625,TRUE
"TWTR220610C00038500","REGULAR","USD",2022-06-10,38.5,2.29,0.089999914,4.090905,2.18,2.36,27,74,2022-06-03 15:27:29,0.631839619140625,TRUE
"TWTR220610C00039000","REGULAR","USD",2022-06-10,39,1.84,-0.07999992,-4.1666627,1.86,2,103,189,2022-06-03 15:49:40,0.625980302734375,TRUE
"TWTR220610C00039500","REGULAR","USD",2022-06-10,39.5,1.58,-0.099999905,-5.9523754,1.54,1.74,52,160,2022-06-03 15:19:41,0.629886513671875,TRUE
"TWTR220610C00040000","REGULAR","USD",2022-06-10,40,1.28,-0.17000008,-11.724143,1.28,1.38,2675,1283,2022-06-03 15:59:00,0.60937890625,TRUE
"TWTR220610C00040500","REGULAR","USD",2022-06-10,40.5,1.04,-0.13999999,-11.864406,1.04,1.12,917,251,2022-06-03 15:58:52,0.602543037109375,FALSE
"TWTR220610C00041000","REGULAR","USD",2022-06-10,41,0.85,-0.109999955,-11.458329,0.84,0.92,3436,1323,2022-06-03 15:59:31,0.6054726953125,FALSE
"TWTR220610C00041500","REGULAR","USD",2022-06-10,41.5,0.7,-0.13999999,-16.666666,0.66,0.72,503,237,2022-06-03 15:59:19,0.5976602734375,FALSE
"TWTR220610C00042000","REGULAR","USD",2022-06-10,42,0.55,-0.050000012,-8.333335,0.54,0.57,1478,618,2022-06-03 15:58:47,0.60351958984375,FALSE
"TWTR220610C00042500","REGULAR","USD",2022-06-10,42.5,0.46,-0.099999994,-17.857141,0.42,0.46,388,219,2022-06-03 15:59:58,0.608402353515625,FALSE
"TWTR220610C00043000","REGULAR","USD",2022-06-10,43,0.33,-0.13,-28.260868,0.31,0.37,1123,255,2022-06-03 15:59:58,0.608402353515625,FALSE
"TWTR220610C00043500","REGULAR","USD",2022-06-10,43.5,0.27,-0.03999999,-12.903222,0.24,0.3,139,148,2022-06-03 15:56:30,0.617191328125,FALSE
"TWTR220610C00044000","REGULAR","USD",2022-06-10,44,0.21,-0.049999997,-19.230768,0.19,0.25,970,1139,2022-06-03 15:53:41,0.63086306640625,FALSE
"TWTR220610C00044500","REGULAR","USD",2022-06-10,44.5,0.18,0.18,NA,0.14,0.22,210,20,2022-06-03 15:28:56,0.6445348046875,FALSE
"TWTR220610C00045000","REGULAR","USD",2022-06-10,45,0.14,-0.060000002,-30.000002,0.11,0.15,1062,2417,2022-06-03 15:55:46,0.63867548828125,FALSE
"TWTR220610C00045500","REGULAR","USD",2022-06-10,45.5,0.12,0.12,NA,0.12,0.17,220,212,2022-06-03 15:51:47,0.70312796875,FALSE
"TWTR220610C00046000","REGULAR","USD",2022-06-10,46,0.09,-0.019999996,-18.181814,0.08,0.16,745,1092,2022-06-03 15:46:57,0.7148466015625,FALSE
"TWTR220610C00046500","REGULAR","USD",2022-06-10,46.5,0.07,0.07,NA,0.07,0.14,20,14,2022-06-03 15:53:21,0.73437765625,FALSE
"TWTR220610C00047000","REGULAR","USD",2022-06-10,47,0.07,-0.020000003,-22.222225,0.07,0.09,333,736,2022-06-03 15:59:15,0.73437765625,FALSE
"TWTR220610C00047500","REGULAR","USD",2022-06-10,47.5,0.07,0.07,NA,0.05,0.11,35,17,2022-06-03 15:53:24,0.773439765625,FALSE
"TWTR220610C00048000","REGULAR","USD",2022-06-10,48,0.05,-0.009999998,-16.666664,0.05,0.09,172,537,2022-06-03 15:31:45,0.789064609375,FALSE
"TWTR220610C00048500","REGULAR","USD",2022-06-10,48.5,0.07,0.07,NA,0,0.08,1,51,2022-06-03 10:53:05,0.7500025,FALSE
"TWTR220610C00049000","REGULAR","USD",2022-06-10,49,0.05,0.010000002,25.000006,0.03,0.06,151,1430,2022-06-03 15:25:45,0.79687703125,FALSE
"TWTR220610C00049500","REGULAR","USD",2022-06-10,49.5,0.04,0.04,NA,0.03,0.04,65,50,2022-06-03 15:58:29,0.79687703125,FALSE
"TWTR220610C00050000","REGULAR","USD",2022-06-10,50,0.03,0,0,0.03,0.04,1454,3259,2022-06-03 15:48:07,0.8320329296875,FALSE
"TWTR220610C00051000","REGULAR","USD",2022-06-10,51,0.03,0,0,0.01,0.1,82,304,2022-06-03 15:35:21,0.960937890625,FALSE
"TWTR220610C00052000","REGULAR","USD",2022-06-10,52,0.02,0,0,0.02,0.09,83,328,2022-06-03 15:37:19,1.0234423828125,FALSE
"TWTR220610C00053000","REGULAR","USD",2022-06-10,53,0.03,0,0,0.01,0.03,67,297,2022-06-03 14:44:50,0.937500625,FALSE
"TWTR220610C00054000","REGULAR","USD",2022-06-10,54,0.02,0,0,0.02,0.03,338,640,2022-06-03 15:53:24,1.0234423828125,FALSE
"TWTR220610C00055000","REGULAR","USD",2022-06-10,55,0.02,-0.01,-33.333336,0.02,0.03,62,643,2022-06-03 15:49:55,1.078129609375,FALSE
"TWTR220610C00056000","REGULAR","USD",2022-06-10,56,0.01,-0.02,-66.66667,0,0.03,4,55,2022-06-03 14:16:45,1.0625046875,FALSE
"TWTR220610C00057000","REGULAR","USD",2022-06-10,57,0.03,0,0,0,0.01,26,55,2022-05-31 14:16:02,0.9687503125,FALSE
"TWTR220610C00058000","REGULAR","USD",2022-06-10,58,0.03,0,0,0,0.01,10,16,2022-05-31 14:16:37,1.03125484375,FALSE
"TWTR220610C00060000","REGULAR","USD",2022-06-10,60,0.04,0,0,0,0.01,1,45,2022-05-17 15:06:26,1.125004375,FALSE
"TWTR220610C00065000","REGULAR","USD",2022-06-10,65,0.01,0,0,0,0.02,10,36,2022-06-02 14:46:12,1.40625296875,FALSE
"TWTR220610C00070000","REGULAR","USD",2022-06-10,70,0.01,0,0,0,0.01,2,171,2022-05-27 12:05:47,1.5000025,FALSE
"TWTR220610C00080000","REGULAR","USD",2022-06-10,80,0.01,0,0,0,0.01,1,4,2022-05-31 12:45:07,1.8125009375,FALSE
